,created_at,text,Clean,Hashtags,Mentions,Hour,Sentiment,Sentiment_Label,Sentiment_Score
5305,2020-03-29T00:15:27,Written from the heart. Sending so much love into the world right now xxx #WeAreAllHuman #CoronaVirus #Covid19 #Poetry #CoronaPoem #CoronaHope https://t.co/ouCAdpPfUh,written heart sending much love world right xxx weareallhuman coronavirus covid poetry coronapoem coronahope,"['WeAreAllHuman', 'CoronaVirus', 'Covid19', 'Poetry', 'CoronaPoem', 'CoronaHope']",[],0,"{'label': 'POSITIVE', 'score': 0.9730779528617859}",POSITIVE,0.9730779528617859
5388,2020-03-29T00:15:43,"World pay Tribute to all #FrontLineHeroes #CoronaUpdate #SaluteCoronaFighters #CoronavirusPandemic #CoronaFreePakistan #CoronaVirusPakistan #italystaystrong #italyquarantine
#DonateKaroNaIndia #JantaCurfewChallenge #Covid_19 #CoronisedWorld_Media_IOK
https://t.co/ckkvGMeNYJ",world pay tribute frontlineheroes coronaupdate salutecoronafighters coronaviruspandemic coronafreepakistan coronaviruspakistan italystaystrong italyquarantine donatekaronaindia jantacurfewchallenge covid coronisedworld media iok,"['FrontLineHeroes', 'CoronaUpdate', 'SaluteCoronaFighters', 'CoronavirusPandemic', 'CoronaFreePakistan', 'CoronaVirusPakistan', 'italystaystrong', 'italyquarantine', 'DonateKaroNaIndia', 'JantaCurfewChallenge', 'Covid_19', 'CoronisedWorld_Media_IOK']",[],0,"{'label': 'NEGATIVE', 'score': 0.9678630232810974}",NEGATIVE,-0.9678630232810974
5578,2020-03-29T00:16:23,If they beat you and your pastor in church today don’t come here and start lamenting for us #StayHomeSaveLives #StayHome #COVID19,beat pastor church today come start lamenting stayhomesavelives stayhome covid,"['StayHomeSaveLives', 'StayHome', 'COVID19']",[],0,"{'label': 'NEGATIVE', 'score': 0.9760808348655701}",NEGATIVE,-0.9760808348655701
6166,2020-03-29T00:18:14,"The Massachusetts #Covid19 disaster declaration is all well &amp; good, but INEFFECTIVE unless @MassGovernor puts a HARD QUARANTINE throughout Massachusetts....NOW!

#CoronaVirusUpdate #StayAtHomeAndStaySafe 
https://t.co/ugBjmLDOQB via @BostonDotCom",massachusetts covid disaster declaration well amp good ineffective unless massgovernor puts hard quarantine throughout massachusetts coronavirusupdate stayathomeandstaysafe via bostondotcom,"['Covid19', 'CoronaVirusUpdate', 'StayAtHomeAndStaySafe']","['MassGovernor', 'BostonDotCom']",0,"{'label': 'NEGATIVE', 'score': 0.9963834285736084}",NEGATIVE,-0.9963834285736084
6210,2020-03-29T00:18:22,The media wants to talk about mortality rate and trying to somehow say how are we doing..  People are freaking dying and health professionals are is the crossfire and it’s a dam game to you people.  🤦‍♂️ #Covid_19,media wants talk mortality rate trying somehow say people freaking dying health professionals crossfire dam game people covid,['Covid_19'],[],0,"{'label': 'NEGATIVE', 'score': 0.997479259967804}",NEGATIVE,-0.997479259967804
6999,2020-03-29T00:20:47,"Rewatching The Birds, and all I can think is, she broke into a stranger's home, dropped off some lovebirds she bought for the guy, and went back to the boat she just rented.

This is some seriously privileged white lady shit.

Still want her car, though.

#Coronavirus
#FilmFest https://t.co/wTSgHgwIdL",rewatching birds think broke stranger home dropped lovebirds bought guy went back boat rented seriously privileged white lady shit still want car though coronavirus filmfest,"['Coronavirus', 'FilmFest']",[],0,"{'label': 'NEGATIVE', 'score': 0.9825968146324158}",NEGATIVE,-0.9825968146324158
7770,2020-03-29T00:23:11,"#coronavirus is just for the moment, it shall phase away",coronavirus moment shall phase away,['coronavirus'],[],0,"{'label': 'NEGATIVE', 'score': 0.9994160532951355}",NEGATIVE,-0.9994160532951355
7784,2020-03-29T00:23:15,"📬 I delivered “Covid19 Response” from Karen, a constituent in Lake Saint Louis, Mo., to @GovParsonMO  #MOpolitics #COVID19

📝 Write your own: https://t.co/z5540KFSKD https://t.co/P5MJGREXOC",delivered covid response karen constituent lake saint louis govparsonmo mopolitics covid write,"['MOpolitics', 'COVID19']",['GovParsonMO'],0,"{'label': 'POSITIVE', 'score': 0.9883276224136353}",POSITIVE,0.9883276224136353
9468,2020-03-29T00:28:45,Woman in downtown Seattle goes off on street preacher for violating the essential-activities-only order. #covidheroes #Seattle #COVID19 https://t.co/k3HgB3Y8S6,woman downtown seattle goes street preacher violating essential activities order covidheroes seattle covid,"['covidheroes', 'Seattle', 'COVID19']",[],0,"{'label': 'NEGATIVE', 'score': 0.972509503364563}",NEGATIVE,-0.972509503364563
9567,2020-03-29T00:29:05,What's on the literature regarding #HealthCareWorkers and #Covid_19 disease? 1/,literature regarding healthcareworkers covid disease,"['HealthCareWorkers', 'Covid_19']",[],0,"{'label': 'NEGATIVE', 'score': 0.9188706874847412}",NEGATIVE,-0.9188706874847412
10344,2020-03-29T00:31:17,"#BreakingNews 
New York and New Jersey are now on a Restricted Travel Advisory over #coronavirus https://t.co/cZOdpm3XvV",breakingnews new york new jersey restricted travel advisory coronavirus,"['BreakingNews', 'coronavirus']",[],0,"{'label': 'NEGATIVE', 'score': 0.9109781980514526}",NEGATIVE,-0.9109781980514526
10727,2020-03-29T00:32:32,"A whole new meaning to the term, ""gone viral"".
#COVID19 #Covid_19 #YouTube #Facebook",whole new meaning term gone viral covid covid youtube facebook,"['COVID19', 'Covid_19', 'YouTube', 'Facebook']",[],0,"{'label': 'NEGATIVE', 'score': 0.9946590065956116}",NEGATIVE,-0.9946590065956116
11002,2020-03-29T00:33:24,"🕐 TOP 10 países con más casos de #coronavirus hoy |

1⃣📈 🇺🇸 +19.225 casos
2⃣📈 🇪🇸 +8.189
3⃣📈 🇩🇪 +6.824
4⃣📈 🇮🇹 +5.974
5⃣📈 🇫🇷 +4.611
6⃣📈 🇮🇷 +3.076
7⃣📈 🇬🇧 +2.556
8⃣📈 🇧🇪 +1.850
9⃣📈 🇹🇷 +1.704
1⃣0⃣📈 🇳🇱 +1.159

#COVID19 #COVID2019 🔽🔽

https://t.co/xZCsSBrdXG",top ses con casos coronavirus hoy casos covid covid,"['coronavirus', 'COVID19', 'COVID2019']",[],0,"{'label': 'NEGATIVE', 'score': 0.9753485321998596}",NEGATIVE,-0.9753485321998596
11269,2020-03-29T00:34:15,Stoners were built for #quarantine #CoronaLockdown #StayAtHomeAndStaySafe #nycshutdown #nyc #COVID19,stoners built quarantine coronalockdown stayathomeandstaysafe nycshutdown nyc covid,"['quarantine', 'CoronaLockdown', 'StayAtHomeAndStaySafe', 'nycshutdown', 'nyc', 'COVID19']",[],0,"{'label': 'NEGATIVE', 'score': 0.9871851205825806}",NEGATIVE,-0.9871851205825806
11347,2020-03-29T00:34:31,"‘It Was Always Going to Be Horrible. #Covid19 Damage to world #trade,  #GDP &amp; #employment will b large. People will suffer serious harm @ die due to economic damage of lockdowns, tho its our best strategy  @WPReview @davidsteven @alexevansuk  https://t.co/yJQe4q4zvC",always going horrible covid damage world trade gdp amp employment large people suffer serious harm die due economic damage lockdowns tho best strategy wpreview davidsteven alexevansuk,"['Covid19', 'trade', 'GDP', 'employment']","['WPReview', 'davidsteven', 'alexevansuk']",0,"{'label': 'NEGATIVE', 'score': 0.9973082542419434}",NEGATIVE,-0.9973082542419434
13170,2020-03-29T00:40:23,"If you have ever canoed into a paddle wheel you may think this is survivable

#Coronavirius #COVID19",ever canoed paddle wheel may think survivable coronavirius covid,"['Coronavirius', 'COVID19']",[],0,"{'label': 'POSITIVE', 'score': 0.9577197432518005}",POSITIVE,0.9577197432518005
13270,2020-03-29T00:40:41,8 strains of the coronavirus are circling the globe. Here's what clues they're giving scientists. https://t.co/tpjMjJB68o #COVID19 #STAYHOME,strains coronavirus circling globe clues giving scientists covid stayhome,"['COVID19', 'STAYHOME']",[],0,"{'label': 'NEGATIVE', 'score': 0.9288657307624817}",NEGATIVE,-0.9288657307624817
13679,2020-03-29T00:41:56,"@wolfblitzer @POTUS @GM @AmerMedicalAssn If @CNN wants all US to trust them then they must #DoBetter and stop 🦜 #gop disinformation and ½ truths.

Saying ventilators “on their way” when Ventech dude said not till least July August = reason folks don’t trust MSM.

#FactsMatter 
#Covid_19",wolfblitzer potus amermedicalassn cnn wants trust must dobetter stop gop disinformation truths saying ventilators way ventech dude said not till least july august reason folks trust msm factsmatter covid,"['DoBetter', 'gop', 'FactsMatter', 'Covid_19']","['wolfblitzer', 'POTUS', 'GM', 'AmerMedicalAssn', 'CNN']",0,"{'label': 'NEGATIVE', 'score': 0.9977707862854004}",NEGATIVE,-0.9977707862854004
13706,2020-03-29T00:42:02,"The Japanese government will send students a gauze mask.

I have a question,
Does it really work?

I am a chinese student，Tomorrow I will return to school . Schools will not provide masks. Despite this masks in China are not expensive now. I can do it!#Japan #COVID19",japanese government send students gauze mask question really work chinese student tomorrow return school schools not provide masks despite masks china not expensive japan covid,"['Japan', 'COVID19']",[],0,"{'label': 'NEGATIVE', 'score': 0.9920944571495056}",NEGATIVE,-0.9920944571495056
13757,2020-03-29T00:42:12,@qcm_p said keep ya hands clean! #coronavirus #ShitIsGettingReal *Cardi B voice* https://t.co/GC85NS7Q7V,qcm said keep hands clean coronavirus shitisgettingreal cardi voice,"['coronavirus', 'ShitIsGettingReal']",['qcm_p'],0,"{'label': 'NEGATIVE', 'score': 0.9891641139984131}",NEGATIVE,-0.9891641139984131
13923,2020-03-29T00:42:44,"Please don't lazily report that USA and Italy have exceeded China's infection number. Just as the USA hasn't identified all their infected (lack of testing), then we absolutely MUST know that there is NOTHING to suggest that Chinese numbers are even close to accurate. #COVID19",please lazily report usa italy exceeded china infection number usa identified infected lack testing absolutely must know nothing suggest chinese numbers even close accurate covid,['COVID19'],[],0,"{'label': 'NEGATIVE', 'score': 0.9920144081115723}",NEGATIVE,-0.9920144081115723
14513,2020-03-29T00:44:42,"We’re LIVE! Go check out our website, https://t.co/Kf5RtCyJgE deadicated to helping #SupportLocalBusiness and people finding places that offer Delivery or Carryout options. #COVID19 #Covid_19",live check website deadicated helping supportlocalbusiness people finding places offer delivery carryout options covid covid,"['SupportLocalBusiness', 'COVID19', 'Covid_19']",[],0,"{'label': 'NEGATIVE', 'score': 0.9943758249282837}",NEGATIVE,-0.9943758249282837
14831,2020-03-29T00:45:36,Reiterating for #DonaldTrump : #CoronavirusOutbreak #SaturdayVibes #saturdaynight #Covid_19 #respirators #research #RespiratoryTherapists https://t.co/iVEOcVRiDA,reiterating donaldtrump coronavirusoutbreak saturdayvibes saturdaynight covid respirators research respiratorytherapists,"['DonaldTrump', 'CoronavirusOutbreak', 'SaturdayVibes', 'saturdaynight', 'Covid_19', 'respirators', 'research', 'RespiratoryTherapists']",[],0,"{'label': 'NEGATIVE', 'score': 0.9830182194709778}",NEGATIVE,-0.9830182194709778
15602,2020-03-29T00:48:11,"The #CoronaVirus is like a shark.
It will only stop feeding in a particular area when the food source is gone.
#StayHome",coronavirus like shark stop feeding particular area food source gone stayhome,"['CoronaVirus', 'StayHome']",[],0,"{'label': 'NEGATIVE', 'score': 0.9993444681167603}",NEGATIVE,-0.9993444681167603
16684,2020-03-29T00:51:57,#Coronavirus-panicked dad locks son out of house after spring break trip. https://t.co/DEP6PLJDjY,coronavirus panicked dad locks son house spring break trip,['Coronavirus'],[],0,"{'label': 'NEGATIVE', 'score': 0.9967451691627502}",NEGATIVE,-0.9967451691627502
16809,2020-03-29T00:52:22,"To ""TeeGootz"", it's fabulous selfie glamorous to laugh off infintalizing grown men as ""boys"", as their being sexually fetishized, &amp; it's fun to take Asian people for granted. #AntiAsianRacism #COVID19 #ShelterInPlace #QuarentineLife https://t.co/I2NlTkZbli",teegootz fabulous selfie glamorous laugh infintalizing grown men boys sexually fetishized amp fun take asian people granted antiasianracism covid shelterinplace quarentinelife,"['AntiAsianRacism', 'COVID19', 'ShelterInPlace', 'QuarentineLife']",[],0,"{'label': 'POSITIVE', 'score': 0.9962508678436279}",POSITIVE,0.9962508678436279
16851,2020-03-29T00:52:32,"A US infant has died from the #COVID19 illness, marking an extremely rare case of juvenile death in the global pandemic. #tribunecovid19watch

 https://t.co/ObLMHie2Zd",infant died covid illness marking extremely rare case juvenile death global pandemic tribunecovid watch,"['COVID19', 'tribunecovid19watch']",[],0,"{'label': 'NEGATIVE', 'score': 0.9673575758934021}",NEGATIVE,-0.9673575758934021
18801,2020-03-29T00:59:21,"Tonight former @AgentsofSHIELD star @IMBrettDalton teams with @BethanyJoyLenz for the @HallmarkChannel premiere of #JustMyType. He tells @stevegeelow why, amidst the #Coronavirus pandemic, it’s the perfect time for a sweet love story. https://t.co/YtrHMKsOdg  @MediaVillageCom",tonight former agentsofshield star imbrettdalton teams bethanyjoylenz hallmarkchannel premiere justmytype tells stevegeelow amidst coronavirus pandemic perfect time sweet love story mediavillagecom,"['JustMyType', 'Coronavirus']","['AgentsofSHIELD', 'IMBrettDalton', 'BethanyJoyLenz', 'HallmarkChannel', 'stevegeelow', 'MediaVillageCom']",0,"{'label': 'POSITIVE', 'score': 0.939131498336792}",POSITIVE,0.939131498336792
19097,2020-03-29T01:00:02,"**ALERT** 11,124 confirmed positive cases in New Jersey. 140 deaths have been reported. #COVID19 #COVID #NJ #NewJersey #Covid19 #LiveUpdates #live
[#] Timestamp: 03/28/2020 09:00 pm
[#] Last Update: 3/28/2020 1PM",alert confirmed positive cases new jersey deaths reported covid covid newjersey covid liveupdates live timestamp last update,"['COVID19', 'COVID', 'NJ', 'NewJersey', 'Covid19', 'LiveUpdates', 'live']",[],1,"{'label': 'NEGATIVE', 'score': 0.5306426286697388}",NEGATIVE,-0.5306426286697388
19460,2020-03-29T01:00:51,"A quickie for today since it's cold and rainy 😎
…
Stay positive 👐
…
#saturdayvibes
#animallover 
#doggielover 
#maltipoo
#covıd19
#staypositive
#貴賓狗
#馬爾濟斯 @ San Jose, California https://t.co/Y6UibtLk6e",quickie today since cold rainy stay positive saturdayvibes animallover doggielover maltipoo cov staypositive san jose california,"['saturdayvibes', 'animallover', 'doggielover', 'maltipoo', 'covıd19', 'staypositive', '貴賓狗', '馬爾濟斯']",[],1,"{'label': 'NEGATIVE', 'score': 0.8180526494979858}",NEGATIVE,-0.8180526494979858
19809,2020-03-29T01:02:05,Did you know you can signal your support for  @nysenate bills ON THEIR WEBSITE? This one suspends rent payments for residents or small business tenants who lose income due to #covid19 for 90 days. Lots of cosponsors already. Let's get this passed: https://t.co/G7vPq8JMgH,know signal support nysenate bills website one suspends rent payments residents small business tenants lose income due covid days lots cosponsors already let get passed,['covid19'],['nysenate'],1,"{'label': 'NEGATIVE', 'score': 0.9970166087150574}",NEGATIVE,-0.9970166087150574
20108,2020-03-29T01:03:07,"The @CDCgov, @US_FDA, and @Surgeon_General have labeled #blood donation as an “essential activity” that you can still attend while under quarantine! If you are healthy and eligible to donate, consider doing so by visiting https://t.co/GlsZh3QvtG. #COVID19 https://t.co/spCxmm2u6R",cdcgov fda surgeon general labeled blood donation essential activity still attend quarantine healthy eligible donate consider visiting covid,"['blood', 'COVID19']","['CDCgov', 'US_FDA', 'Surgeon_General']",1,"{'label': 'NEGATIVE', 'score': 0.9575666189193726}",NEGATIVE,-0.9575666189193726
20435,2020-03-29T01:04:14,Oh that we had the power to see as others see us - Boris Johnson Is Not Cut Out for This Crisis https://t.co/Di48TvQLxS #COVID_19uk #Coronavirus,power see others see boris johnson not cut crisis covid coronavirus,"['COVID_19uk', 'Coronavirus']",[],1,"{'label': 'POSITIVE', 'score': 0.7873386144638062}",POSITIVE,0.7873386144638062
20947,2020-03-29T01:05:56,"Look, it's the #PagentOfTheMasters #HomeEdition: https://t.co/I7u5IbFn3b!

#Museums @GettyMuseum #GettyMuseum #CoronavirusPandemic #coronavirusquarantine #Quarentinegames #CreativeQuarentine #Culture #Arts https://t.co/g9fO77jYjf",look pagentofthemasters homeedition museums gettymuseum gettymuseum coronaviruspandemic coronavirusquarantine quarentinegames creativequarentine culture arts,"['PagentOfTheMasters', 'HomeEdition', 'Museums', 'GettyMuseum', 'CoronavirusPandemic', 'coronavirusquarantine', 'Quarentinegames', 'CreativeQuarentine', 'Culture', 'Arts']",['GettyMuseum'],1,"{'label': 'NEGATIVE', 'score': 0.9783868193626404}",NEGATIVE,-0.9783868193626404
21370,2020-03-29T01:07:27,"In solidarity with USA 🇺🇸, cases crossed 119,000, the country surpassed the case totals in China and Italy. More than 2,000 people in the United States infected with the coronavirus have died, according to #NewYorkTimes
#CoronaUpdate #Covid_19 #USA #WHO",solidarity usa cases crossed country surpassed case totals china italy people united states infected coronavirus died according newyorktimes coronaupdate covid usa,"['NewYorkTimes', 'CoronaUpdate', 'Covid_19', 'USA', 'WHO']",[],1,"{'label': 'NEGATIVE', 'score': 0.963813841342926}",NEGATIVE,-0.963813841342926
21407,2020-03-29T01:07:34,@SenTedCruz @GovAbbott @SylvesterTurner will there be Rent forbearance for tenants in #Texas ?... seems reasonable #forgiveness and #forget ? #ActsofCaring #Covid_19 #untilltomorrow #lockdown #Houston @abc13houston @HoustonChron @HoustonTX @KPRC2,sentedcruz govabbott sylvesterturner rent forbearance tenants texas seems reasonable forgiveness forget actsofcaring covid untilltomorrow lockdown houston abc houston houstonchron houstontx kprc,"['Texas', 'forgiveness', 'forget', 'ActsofCaring', 'Covid_19', 'untilltomorrow', 'lockdown', 'Houston']","['SenTedCruz', 'GovAbbott', 'SylvesterTurner', 'abc13houston', 'HoustonChron', 'HoustonTX', 'KPRC2']",1,"{'label': 'NEGATIVE', 'score': 0.9949063062667847}",NEGATIVE,-0.9949063062667847
22356,2020-03-29T01:10:41,This is the kind of garbage that Americans are so sick of. Your statement is a lie on every level. And you wonder why everyone knows you’re #fakenews and despises @CNN . You are purposefully stirring panic and fear. #COVID19 #Covid_19 https://t.co/hptqhYvzYk,kind garbage americans sick statement lie every level wonder everyone knows fakenews despises cnn purposefully stirring panic fear covid covid,"['fakenews', 'COVID19', 'Covid_19']",['CNN'],1,"{'label': 'NEGATIVE', 'score': 0.9958704710006714}",NEGATIVE,-0.9958704710006714
22602,2020-03-29T01:11:30,The Lost Month: How a Failure to Test Blinded the U.S. to Covid-19 https://t.co/2Zr6PTLkoW #COVID19 #COVID_19,lost month failure test blinded covid covid covid,"['COVID19', 'COVID_19']",[],1,"{'label': 'NEGATIVE', 'score': 0.9989457130432129}",NEGATIVE,-0.9989457130432129
23867,2020-03-29T01:15:32,"This is the potential #COVID19  spread across the United states of #Florida #springbreak2020 revelers from just *one* small beach.
https://t.co/Ykpxtsu5Dt https://t.co/StMgJl1lec",potential covid spread across united states florida springbreak revelers one small beach,"['COVID19', 'Florida', 'springbreak2020']",[],1,"{'label': 'POSITIVE', 'score': 0.9925070405006409}",POSITIVE,0.9925070405006409
23887,2020-03-29T01:15:36,Day 3. We on to something!! Join us don’t watch us! Good work!#teamelite14daymovementchallenge #StayHome #PlayInside #playfortheworld #COVID19 https://t.co/y4CZgXofqT,day something join watch good work teamelite daymovementchallenge stayhome playinside playfortheworld covid,"['teamelite14daymovementchallenge', 'StayHome', 'PlayInside', 'playfortheworld', 'COVID19']",[],1,"{'label': 'POSITIVE', 'score': 0.9708596467971802}",POSITIVE,0.9708596467971802
24037,2020-03-29T01:16:05,"Number of #coronavirus cases in India surge to 918, PM announces CARES fund. Check for live updates

https://t.co/eMsM2U974H",number coronavirus cases india surge announces cares fund check live updates,['coronavirus'],[],1,"{'label': 'NEGATIVE', 'score': 0.9329475164413452}",NEGATIVE,-0.9329475164413452
24841,2020-03-29T01:18:33,"https://t.co/eqokFyn8z3 incredibly helpful video (by Dr. David Price at Weill Cornell in NYC) for friends and family who are not in the medical field. Answers MANY questions they may have in a simple manner. #COVID19  #CoronavirusUSA 
@WCMSurgery @weillcornell",incredibly helpful video david price weill cornell nyc friends family not medical field answers many questions may simple manner covid coronavirususa wcmsurgery weillcornell,"['COVID19', 'CoronavirusUSA']","['WCMSurgery', 'weillcornell']",1,"{'label': 'POSITIVE', 'score': 0.9301975965499878}",POSITIVE,0.9301975965499878
26716,2020-03-29T01:24:21,"Doctors, nurses, respiratory therapists, step up now and tell the truth! Tell the public the REAL numbers of your corona virus patients in hospitals, tell the public they aren't full of people on respirators! They might as well call central casting to fill space. #Covid19 #HOAX",doctors nurses respiratory therapists step tell truth tell public real numbers corona virus patients hospitals tell public full people respirators might well call central casting fill space covid hoax,"['Covid19', 'HOAX']",[],1,"{'label': 'NEGATIVE', 'score': 0.9992254376411438}",NEGATIVE,-0.9992254376411438
27437,2020-03-29T01:26:41,"Seems like more credit needs to be given to countries who are doing a good job at containment. Entire countries are doing a better job than many of our states. We're too busy going on spring break, licking toilets, and calling it a hoax from the Democrats. #Covid_19",seems like credit needs given countries good job containment entire countries better job many states busy going spring break licking toilets calling hoax democrats covid,['Covid_19'],[],1,"{'label': 'NEGATIVE', 'score': 0.996806263923645}",NEGATIVE,-0.996806263923645
27931,2020-03-29T01:28:14,"This is a disaster as it is.
But the medical side of this disaster - in the wake of #Covid_19 - will be felt in the next 2 weeks. https://t.co/FSJ3wTyuhO",disaster medical side disaster wake covid felt next weeks,['Covid_19'],[],1,"{'label': 'NEGATIVE', 'score': 0.9987993240356445}",NEGATIVE,-0.9987993240356445
28047,2020-03-29T01:28:38,"For anyone looking to learn more about how #pandemics like #COVID19 begin and spread, highly recommend #spillover by @DavidQuammen. Superbly written and extremely informative https://t.co/LSzDEDF7Zk",anyone looking learn pandemics like covid begin spread highly recommend spillover davidquammen superbly written extremely informative,"['pandemics', 'COVID19', 'spillover']",['DavidQuammen'],1,"{'label': 'POSITIVE', 'score': 0.9995859265327454}",POSITIVE,0.9995859265327454
28845,2020-03-29T01:30:44,"Global COVID-19 cases surpass 500,000, vaccine at least 12-18 months away: WHO
https://t.co/mxbpDiDOKE #WHO #Covid_19 #COVID19 https://t.co/hqpqGpy1Yd",global covid cases surpass vaccine least months away covid covid,"['WHO', 'Covid_19', 'COVID19']",[],1,"{'label': 'NEGATIVE', 'score': 0.9336987733840942}",NEGATIVE,-0.9336987733840942
29288,2020-03-29T01:32:06,"2019, that far off distant land where there seemed to be a lot less worries. #COVID19Aus #Covid_19 https://t.co/whAtW7XnAE",far distant land seemed lot less worries covid aus covid,"['COVID19Aus', 'Covid_19']",[],1,"{'label': 'NEGATIVE', 'score': 0.9968234896659851}",NEGATIVE,-0.9968234896659851
